// AR5416 5GHz TX gain Table

/*
  1 = desired gain
  2 = bb1_gain
  3 = bb2_gain
  4 = if_gain
  5 = rf_gain
*/
          
// 1     2    3     4     5
//--    --    --   --    --


  0,    0,    0,    0,    0,
 12,    1,    0,    0,    0,
 19,    2,    0,    0,    0,
 24,    3,    0,    0,    0,
 31,    2,    1,    0,    0,
 36,    3,    1,    0,    0,
 38,    2,    2,    0,    0,
 43,    3,    2,    0,    0,
 48,    3,    3,    0,    0,
 50,    2,    2,    1,    0,
 55,    3,    2,    1,    0,
 61,    3,    3,    0,    1,
 63,    2,    2,    1,    1,
 70,    3,    2,    1,    1,
 75,    3,    3,    0,    3,
 78,    3,    3,    0,    4,
 84,    3,    3,    0,    6,
 90,    3,    3,    1,    4,
 95,    3,    3,    1,    6,
101,    3,    3,    3,    4,
107,    3,    3,    3,    6,
