// AR5416 2GHz TX gain Table

/*
  1 = desired gain
  2 = bb1_gain
  3 = bb2_gain
  4 = if_gain
  5 = rf_gain
*/
          
// 1     2    3     4     5
//--    --    --   --    --

  0,    0,    0,    0,    0,
 12,    1,    0,    0,    0,
 18,    2,    0,    0,    0,
 23,    3,    0,    0,    0,
 30,    2,    1,    0,    0,
 37,    2,    2,    0,    0,
 42,    3,    2,    0,    0,
 49,    2,    2,    1,    0,
 54,    3,    2,    1,    0,
 59,    3,    3,    0,    1,
 61,    2,    2,    1,    1,
 66,    3,    2,    1,    1,
 70,    3,    3,    0,    3,
 74,    3,    3,    0,    4,
 77,    3,    3,    0,    5,
 82,    3,    3,    0,    7,
 87,    3,    3,    1,    4,
 94,    3,    3,    1,    7,
100,    3,    3,    3,    4,
104,    3,    3,    3,    7,
